Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,G_mean_rat,Dir_enc,A1_enc,A2_enc,A3_enc
2019,109,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,5.985004212299915,7.0,6.85,7.0,7.0
2019,110,Comedy,4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,5.728073635765943,4.4,5.25,4.4,4.46
2019,110,Romance,4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,5.754529717253318,4.4,5.25,4.4,4.46
1997,147,Comedy,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,5.728073635765943,5.342105263157895,4.793617021276596,5.7299999999999995,5.93
1997,147,Drama,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,5.985004212299915,5.342105263157895,4.793617021276596,5.7299999999999995,5.93
1997,147,Musical,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,6.183195020746888,5.342105263157895,4.793617021276596,5.7299999999999995,5.93
2005,142,Drama,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,5.985004212299915,7.5470588235294125,5.322950819672131,5.8,6.671428571428572
2005,142,Romance,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,5.754529717253318,7.5470588235294125,5.322950819672131,5.8,6.671428571428572
2005,142,War,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,5.981818181818182,7.5470588235294125,5.322950819672131,5.8,6.671428571428572
2012,82,Horror,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,4.787854251012146,5.599999999999999,5.599999999999999,5.8125,5.599999999999999
2012,82,Mystery,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,5.793820224719101,5.599999999999999,5.599999999999999,5.8125,5.599999999999999
2012,82,Thriller,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,5.53436385255648,5.599999999999999,5.599999999999999,5.8125,5.599999999999999
2014,116,Action,4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,5.435978600089166,4.0,4.0,4.55,4.0
2014,116,Crime,4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,5.726989935956085,4.0,4.0,4.55,4.0
2014,116,Thriller,4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,5.53436385255648,4.0,4.0,4.55,4.0
2004,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,5.985004212299915,6.2,5.2555555555555555,5.615384615384615,5.046666666666667
2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,4.787854251012146,7.3,5.7250000000000005,5.9,5.9
1991,161,Horror,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,4.787854251012146,4.940476190476191,5.178151260504202,5.909677419354838,5.228125
1991,161,Romance,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,5.754529717253318,4.940476190476191,5.178151260504202,5.909677419354838,5.228125
1991,161,Thriller,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,5.53436385255648,4.940476190476191,5.178151260504202,5.909677419354838,5.228125
2012,166,Comedy,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,5.728073635765943,5.7,6.0,5.7,5.7
2012,166,Drama,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,5.985004212299915,5.7,6.0,5.7,5.7
2012,166,Romance,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,5.754529717253318,5.7,6.0,5.7,5.7
2018,102,Comedy,7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,5.728073635765943,6.17,6.0929078014184395,6.260714285714286,5.977777777777778
2018,102,Drama,7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,5.985004212299915,6.17,6.0929078014184395,6.260714285714286,5.977777777777778
2010,87,Comedy,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,5.728073635765943,6.875,6.3,6.3,6.933333333333334
2010,87,Drama,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,5.985004212299915,6.875,6.3,6.3,6.933333333333334
2010,87,Romance,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,5.754529717253318,6.875,6.3,6.3,6.933333333333334
1958,132,Crime,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,5.726989935956085,6.337777777777777,6.988235294117647,6.870731707317073,6.676595744680851
1958,132,Drama,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,5.985004212299915,6.337777777777777,6.988235294117647,6.870731707317073,6.676595744680851
1958,132,Mystery,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,5.793820224719101,6.337777777777777,6.988235294117647,6.870731707317073,6.676595744680851
2021,105,Horror,4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,4.787854251012146,5.558064516129032,5.311764705882353,6.088888888888889,4.966666666666667
2021,105,Thriller,4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,5.53436385255648,5.558064516129032,5.311764705882353,6.088888888888889,4.966666666666667
2017,116,Comedy,6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,5.728073635765943,6.6,6.6,6.6,6.6
2017,116,Horror,6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,4.787854251012146,6.6,6.6,6.6,6.6
2009,146,Drama,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,5.985004212299915,7.3,6.841176470588235,6.371428571428572,6.0
2009,146,Horror,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,4.787854251012146,7.3,6.841176470588235,6.371428571428572,6.0
2009,146,Mystery,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,5.793820224719101,7.3,6.841176470588235,6.371428571428572,6.0
2005,116,Drama,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,5.985004212299915,6.9624999999999995,6.687142857142858,7.03125,6.572727272727272
1993,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,5.985004212299915,5.3,5.2375,4.6000000000000005,5.111111111111111
2002,158,Action,6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,5.435978600089166,5.614285714285715,5.66,5.614285714285715,4.9363636363636365
2002,158,Thriller,6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,5.53436385255648,5.614285714285715,5.66,5.614285714285715,4.9363636363636365
2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,5.435978600089166,3.5,3.5,5.615384615384615,4.15
1946,101,Drama,5.0,8,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi,5.985004212299915,6.466666666666666,6.066666666666666,6.7124999999999995,5.0
1946,101,History,5.0,8,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi,6.830088495575221,6.466666666666666,6.066666666666666,6.7124999999999995,5.0
2004,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,5.985004212299915,4.5,5.633333333333333,5.615384615384615,4.5
2008,138,Horror,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,4.787854251012146,4.8464285714285715,5.123076923076923,5.314285714285715,6.400000000000001
2008,138,Mystery,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,5.793820224719101,4.8464285714285715,5.123076923076923,5.314285714285715,6.400000000000001
2008,138,Romance,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,5.754529717253318,4.8464285714285715,5.123076923076923,5.314285714285715,6.400000000000001
2016,120,Horror,4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,4.787854251012146,5.9,4.845454545454546,4.1,4.1
2016,120,Mystery,4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,5.793820224719101,5.9,4.845454545454546,4.1,4.1
2012,124,Drama,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,5.985004212299915,3.9285714285714284,4.9,5.4375,4.8
2012,124,Horror,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,4.787854251012146,3.9285714285714284,4.9,5.4375,4.8
2012,124,Romance,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,5.754529717253318,3.9285714285714284,4.9,5.4375,4.8
2018,144,Horror,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,4.787854251012146,4.8464285714285715,4.05,4.5,4.7
2018,144,Mystery,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,5.793820224719101,4.8464285714285715,4.05,4.5,4.7
2018,144,Romance,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,5.754529717253318,4.8464285714285715,4.05,4.5,4.7
1994,157,Action,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,5.435978600089166,6.514285714285715,5.655970149253731,5.010588235294118,5.731111111111111
1994,157,Drama,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,5.985004212299915,6.514285714285715,5.655970149253731,5.010588235294118,5.731111111111111
1994,157,History,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,6.830088495575221,6.514285714285715,5.655970149253731,5.010588235294118,5.731111111111111
2007,136,Action,8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,5.435978600089166,6.58,6.506451612903225,7.139999999999999,7.242857142857143
